1 4.0579e+96
0.5 40 9.10818e+145
0.25 80 2.18891e+277
0.125 160 7.33995e+295
0.0625 320 8.1758e+280
0.03125 640 8.1758e+280
0.015625 1280 5.74586e+97
0.0078125 2560 2.715
0.00390625 5120 0.170833
0.00195312 10240 0.0107129
0.000976562 20480 0.000669837
0.000488281 40960 4.33326e-05
0.000244141 81920 3.57628e-07
0.00012207 163840 5.30481e-06
6.10352e-05 327680 7.09295e-06
3.05176e-05 655360 9.05991e-06
1.52588e-05 1.31072e+06 6.73532e-06
7.62939e-06 2.62144e+06 1.53184e-05
3.8147e-06 5.24288e+06 2.24113e-05
